num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,11,11,31,4,4
4,0,12,11,30,4,4
4,0,11,11,31,4,4
6,2,19,14,39,4,4
6,2,22,14,39,4,4
6,4,19,17,35,4,4
8,6,28,20,47,4,4
8,8,28,23,47,4,4
8,6,28,20,44,4,4
10,8,36,23,61,4,4
10,6,26,20,44,4,4
10,10,26,26,47,4,4
12,16,24,35,47,4,4
12,16,24,35,47,4,4
12,16,24,35,47,4,4
14,12,50,29,82,4,4
14,14,38,23,70,4,4
14,6,46,20,71,4,4
16,14,44,32,71,4,4
16,18,48,29,78,4,4
16,10,44,26,71,4,4
18,18,54,38,83,4,4
18,14,52,23,84,4,4
18,22,46,44,81,4,4
20,32,40,59,71,4,4
20,32,40,59,71,4,4
20,32,40,59,71,4,4
22,16,58,29,121,4,4
22,30,77,44,117,4,4
22,14,68,26,111,4,4
24,26,75,44,122,4,4
24,14,74,32,135,4,4
24,12,62,29,110,4,4
