num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,11,11,28,28,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,21,21,37,37,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,28,18,45,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,26,21,45,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,24,24,45,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,30,27,65,2,2,72,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,11,11,28,28,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,21,21,40,37,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,28,18,42,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,26,21,45,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,24,24,45,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,32,27,62,2,2,72,0.0,0.0,0.0
