num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,19,17,35,5,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,28,20,43,9,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,36,23,57,14,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,24,26,45,20,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,38,29,68,27,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,44,32,67,35,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,51,35,97,44,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,40,38,69,54,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,70,41,108,65,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,71,44,111,77,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,97,47,154,90,374,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,21,17,38,5,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,28,20,43,9,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,30,23,56,14,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,24,26,45,20,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,30,29,63,27,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,56,32,79,35,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,46,35,81,44,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,40,38,69,54,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,60,41,112,65,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,64,44,118,77,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,76,47,144,90,374,2,2,72,0.0,0.0,0.0
14,0.9242995624408483,0.0,0.8754518648680388,0.0,12,0,29,0,0,0,2,2,72,174.70528092099994,3.3973355479975,0.0
