num_qubits,gate_cuts,wire_cuts,optimal_wire_cuts,optimal_gate_cuts,gate_cut_time,wire_cut_time,optimal_cut_time,gate_num_fragments,wire_num_fragments,optimal_num_fragments
4,4,2,2,0,0.5601479320321232,0.027846066979691386,0.013567409943789244,2,2,2
6,4,4,4,0,0.05715630005579442,0.01793746603652835,0.03299401595722884,2,2,2
8,4,6,2,2,0.07912723103072494,0.02361366304103285,0.07349064701702446,2,2,2
10,4,7,0,4,0.1171030179830268,0.138690481078811,0.13162709795869887,2,3,2
4,4,2,2,0,0.5412003149976954,0.027807850972749293,0.015923773986287415,2,2,2
6,4,4,4,0,0.05658696102909744,0.02096037392038852,0.031743300962261856,2,2,2
8,4,6,2,2,0.07685328205116093,0.022724949987605214,0.07143316708970815,2,2,2
10,4,7,0,4,0.10781970398966223,0.1322821790818125,0.12159083306323737,2,3,2
4,4,2,2,0,0.577065157936886,0.03030752402264625,0.013295865966938436,2,2,2
6,4,4,4,0,0.06464806303847581,0.019627317902632058,0.032450697966851294,2,2,2
8,4,6,2,2,0.07706196093931794,0.023129428969696164,0.07094928494188935,2,2,2
10,4,7,0,4,0.10285761498380452,0.13222048699390143,0.11630046600475907,2,3,2
