num_qubits,h_fid_baseline,tv_fid_baseline,h_fid,tv_fid,num_cnots_baseline,depth_baseline,num_cnots,depth,num_vgates,run_time,knit_time
6,0.9718642520335071,0.8933,0.6252809788626325,0.5045721876311213,26,42,21,37,2,7.0663158829993336,4.586245621001581
8,0.9385136441645847,0.8256,0.6817942912215035,0.5287737875117708,53,72,50,61,2,10.523210698003822,4.890210207995551
10,0.8964685844729225,0.7846000000000011,0.8771531146041978,0.7496672423495567,105,98,79,86,2,21.679195862001507,4.181152350996854
6,0.968262800223558,0.8685,0.9417435008976879,0.8164431936382772,46,71,45,69,2,7.2594959839989315,4.178903364001599
8,0.9620086049275044,0.8365,0.9305562692986828,0.7759247494154522,83,102,84,110,2,11.776486632996239,4.116460242003086
10,0.8168072522205668,0.7377500000000012,0.8391094478881819,0.7586796901207916,169,160,155,161,2,32.04444196099939,4.152377391998016
6,0.9699417619180131,0.8798,0.9265981291644572,0.7495912471056981,43,81,27,50,2,7.10727217499516,4.297437836001336
6,0.9922576437592313,0.954,0.9891141921051602,0.9378154152152622,21,43,10,20,1,17.995794424998167,4.687840468999639
6,0.9555725034464134,0.875,0.9718888278871957,0.9047073353168583,19,38,10,20,1,17.632574619005027,4.172184779003146
8,0.9523163148141375,0.8712000000000001,0.9862504016139418,0.9326335749883131,28,47,14,23,1,48.987616777994845,4.48416176399769
10,0.9433159594361004,0.8914000000000006,0.9572895023785174,0.8770001007143312,32,53,18,26,1,192.42301196000335,4.1192192219969
6,0.9824839921925946,0.9165,0.9167703054914244,0.751117614046606,43,83,29,56,2,7.2144578880033805,4.8889262010052335
4,0.0,0.0,0.8436456285691332,0.7171125,0,0,9,30,2,31.32599725999171,4.334276023000712
5,0.0,0.0,0.6771014148278011,0.5886625,0,0,14,31,2,28.775913896010024,4.684316391008906
6,0.0,0.0,0.7192913283129306,0.5948125,0,0,17,34,2,26.71646729299391,4.438285461001215
7,0.0,0.0,0.5436397898084844,0.46154881889763777,0,0,22,35,2,33.06638730100531,4.953577956010122
4,0.9710906280248445,0.9049499999999999,0.7838844068132299,0.6845875,17,43,9,30,2,30.094590951994178,5.106339731995831
