num_qubits,num_qubits_after,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,27,27,27,63,63,0,1
6,27,37,51,71,94,1,1
8,27,47,60,63,81,1,1
10,27,48,48,69,69,0,1
12,27,36,36,57,57,0,1
14,27,81,81,128,128,0,1
16,27,104,102,136,133,0,1
18,27,88,108,102,151,1,1
20,27,60,60,81,81,0,1
22,27,105,105,135,135,0,1
24,27,128,129,200,189,0,1
4,27,27,27,63,63,0,1
6,27,49,49,93,93,0,1
8,27,34,60,45,81,2,1
10,27,48,48,69,69,0,1
12,27,36,36,57,57,0,1
14,27,63,81,96,115,0,1
16,27,84,84,105,105,0,1
18,27,90,111,123,129,0,1
20,27,60,60,81,81,0,1
22,27,102,105,157,133,0,1
24,27,129,131,183,174,0,1
4,27,27,27,63,63,0,1
6,27,15,52,30,87,3,1
8,27,21,60,30,81,3,1
10,27,48,48,69,69,0,1
12,27,36,36,57,57,0,1
14,27,96,86,123,102,0,1
16,27,45,84,38,105,3,1
18,27,90,117,123,142,0,1
20,27,60,60,81,81,0,1
22,27,84,104,126,159,0,1
24,27,108,131,189,172,0,1
